epoch,step,train_loss,train_acc,valid_loss,valid_f1,valid_acc
0,49,1.2679568529129028,0.25,,,
0,99,1.2966270446777344,0.3166666626930237,,,
0,149,1.153598666191101,0.6666666865348816,,,
0,154,,,1.2266227006912231,0.519409716129303,0.5290229320526123
1,199,1.3488295078277588,0.30000001192092896,,,
1,249,1.101639986038208,0.6666666865348816,,,
1,299,1.3770735263824463,0.4599999785423279,,,
1,309,,,1.2180930376052856,0.5423742532730103,0.5487683415412903
2,349,1.1350048780441284,0.375,,,
2,399,1.0997577905654907,0.6470588445663452,,,
2,449,1.0991497039794922,0.75,,,
2,464,,,1.2120417356491089,0.5526875853538513,0.5600214600563049
3,499,1.1554009914398193,0.5857142806053162,,,
3,549,1.4771175384521484,0.26704543828964233,,,
3,599,1.3763490915298462,0.3692307770252228,,,
3,619,,,1.2057240009307861,0.5693671107292175,0.5773444771766663
4,649,1.1545052528381348,0.625,,,
4,699,1.210279107093811,0.3333333432674408,,,
4,749,1.2054368257522583,0.5846154093742371,,,
4,774,,,1.1998717784881592,0.6164654493331909,0.6263934969902039
5,799,1.0459156036376953,1.0,,,
5,849,1.202284574508667,0.4871795177459717,,,
5,899,1.2095829248428345,0.6071428656578064,,,
5,929,,,1.202579379081726,0.6251735687255859,0.6362088322639465
6,949,1.1463159322738647,0.550000011920929,,,
6,999,1.262333631515503,0.46666666865348816,,,
6,1049,1.1564339399337769,0.7777777910232544,,,
6,1084,,,1.2020262479782104,0.6117429733276367,0.6170118451118469
7,1099,1.1017614603042603,0.6666666865348816,,,
7,1149,1.243734359741211,0.6237373948097229,,,
7,1199,1.0896390676498413,0.976190447807312,,,
7,1239,,,1.1969887018203735,0.6236526966094971,0.6301226615905762
8,1249,1.2126609086990356,0.5846154093742371,,,
8,1299,1.128183364868164,0.8557692170143127,,,
8,1349,1.1544758081436157,0.8541666865348816,,,
8,1394,,,1.184981107711792,0.6590713858604431,0.6652989387512207
9,1399,1.1300040483474731,0.7000000476837158,,,
9,1449,1.2015050649642944,0.7846153974533081,,,
9,1499,1.3181909322738647,0.2666666805744171,,,
9,1549,1.2948635816574097,0.5,,,
9,1549,,,1.188982605934143,0.6599915027618408,0.676214873790741
